date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:11:15	34/34	---MCZ	200	added ('OK')	text/plain	etag:6978a616c585d03cb5b542a891995efb	https://yammbuffet.com/robots.txt		(from )
10:11:15	114971/114971	---MCZ	200	added ('OK')	text/html	etag:b07523815f00ff4253948d51b59e9cae	https://yammbuffet.com/	C:/Users/Thinkpad/Desktop/testing/yammbuffet.com/index.html	(from )
10:11:16	455/455	---MCZ	200	added ('OK')	application/manifest+json	etag:d4fbc3a8e4550ac6d144faab611a39c0	https://yammbuffet.com/manifest.webmanifest	C:/Users/Thinkpad/Desktop/testing/yammbuffet.com/manifest.webmanifest	(from https://yammbuffet.com/)
10:11:16	32918/32918	---MCZ	200	added ('OK')	application/javascript	etag:c17eb84eaf79de35e67af56ecbc39b6c	https://yammbuffet.com/sw.js	C:/Users/Thinkpad/Desktop/testing/yammbuffet.com/sw.js	(from https://yammbuffet.com/)
10:11:17	84010/84010	---MCZ	200	added ('OK')	text/html	etag:0d9ca964a03fae071a22fd6c73852415	https://yammbuffet.com/prices	C:/Users/Thinkpad/Desktop/testing/yammbuffet.com/prices.html	(from https://yammbuffet.com/)
10:11:17	508290/508290	---M--	200	added ('OK')	image/jpeg	etag:3635721392	https://img1.wsimg.com/isteam/ip/dcaf0790-2e31-40ed-a635-4e61984ff6cd/_DSC9620.jpg	C:/Users/Thinkpad/Desktop/testing/img1.wsimg.com/isteam/ip/dcaf0790-2e31-40ed-a635-4e61984ff6cd/_DSC9620.jpg	(from https://yammbuffet.com/)
10:11:17	74488/74488	---MCZ	200	added ('OK')	text/html	etag:207253f4677027741afae6e28a0d6e9b	https://yammbuffet.com/menu	C:/Users/Thinkpad/Desktop/testing/yammbuffet.com/menu.html	(from https://yammbuffet.com/)
10:11:17	106297/106297	---MCZ	200	added ('OK')	text/html	etag:3e09ca92fef928cfba8dbb44ff0f2733	https://yammbuffet.com/news	C:/Users/Thinkpad/Desktop/testing/yammbuffet.com/news.html	(from https://yammbuffet.com/)
10:11:17	84561/84561	---MCZ	200	added ('OK')	text/html	etag:0e617e6af17cd9f3d02d1224c56d3549	https://yammbuffet.com/gallery	C:/Users/Thinkpad/Desktop/testing/yammbuffet.com/gallery.html	(from https://yammbuffet.com/)
10:11:18	68625/68625	---MCZ	200	added ('OK')	text/html	etag:b7c67239533933558990efddf8894d36	https://yammbuffet.com/privacy-policy	C:/Users/Thinkpad/Desktop/testing/yammbuffet.com/privacy-policy.html	(from https://yammbuffet.com/)
